onset_time_s,amplitude_v
1697.203366,2.9011
1701.274127,4.4753
1703.611666,1.8516
1706.148821,1.8516
1709.576169,4.7376
1712.072094,1.3268
1716.156854,2.3763
1719.773386,2.9011
1722.930856,4.4753
1725.696392,4.2129
1728.31954,4.7376
1731.408983,3.4258
1733.952304,1.3268
1737.991467,2.3763
1740.344905,3.9505
1743.96137,5.0
1747.704791,4.4753
1751.431647,3.6882
1755.503108,2.1139
1758.035964,3.9505
1762.012599,2.3763
1764.392167,4.7376
1767.090676,0.2774
1770.762436,3.6882
1773.944205,3.1634
1776.641513,3.9505
1780.714474,1.8516
1783.066111,3.9505
1785.462545,0.8021
1788.223281,2.3763
1791.767553,3.9505
1794.91819,3.9505
1797.569836,1.8516
1800.538188,4.7376
1804.066228,2.1139
1807.55427,1.5892
1810.658712,3.6882
1813.665561,4.2129
1816.023098,3.4258
1818.812232,0.015
1821.215965,1.3268
1824.668511,5.0
1827.377352,3.9505
1830.767003,1.0645
1833.891742,1.5892
1837.560703,1.3268
1839.79645,3.4258
1842.350371,3.9505
1846.186818,3.1634
1849.175969,1.0645
1852.398233,1.5892
1855.109874,5.0
1857.407983,0.8021
1860.538422,0.5397
1863.869378,0.2774
1866.897025,4.4753
1869.258162,2.3763
1871.801917,3.4258
1874.833764,0.015
1877.15687,2.6387
1881.043646,4.2129
1885.021682,3.4258
1887.280227,1.8516
1891.216499,2.1139
1894.518223,2.6387
1898.487593,3.1634
1901.699258,1.3268
1904.469361,1.3268
1907.546404,3.4258
1909.822248,5.0
1912.058362,3.1634
1914.983918,3.4258
1917.538772,0.2774
1921.257095,1.5892
1923.788651,4.4753
1927.627098,4.7376
1930.48166,3.9505
1933.355687,3.9505
1937.226431,0.2774
1941.370519,2.6387
1944.889459,0.015
